gene	contig_count	contigs	is_tf	annotation_column
AGD2	1	c71322_g1_i1	1	KO_EUK
AGL2	1	c98552_g1_i2	0	KO_EUK
AGT	1	c36493_g1_i1	0	KO_EUK
AIFM3	1	c141958_g1_i1	0	KO_EUK
AIM1	1	c90270_g1_i1	0	KO_EUK
AIMP2	1	c67866_g1_i1	0	KO_EUK
AKR1A1	1	c61858_g1_i1	0	KO_EUK
AKR7A3	1	c93753_g2_i1	0	KO_EUK
ALAS1	1	c90942_g3_i1	0	KO_EUK
ALB	1	c144683_g1_i1	0	KO_EUK
ALD1	1	c139747_g1_i1	0	KO_EUK
ALD5	1	c127848_g1_i1	0	KO_EUK
ALDH12A1	2	c126648_g1_i1,c73829_g2_i1	0	KO_EUK
ALDH16A1	1	c121749_g1_i1	0	KO_EUK
ALDH1A1	2	c37419_g1_i2,c76285_g1_i2	0	KO_EUK
ALDOA	1	c107111_g4_i1	0	KO_EUK
ALG13	1	c27544_g1_i1	0	KO_EUK
AMDHD2	1	c89665_g1_i1	0	KO_EUK
AMPD2	1	c137683_g1_i1	0	KO_EUK
AMZ2	2	c44471_g1_i1,c68264_g1_i1	0	KO_EUK
ANAPC11	1	c139201_g1_i1	0	KO_EUK
ANKRD9	1	c139950_g1_i1	0	KO_EUK
ANT1	1	c30287_g1_i1	0	KO_EUK
AO	1	c118412_g1_i2	0	KO_EUK
AOAH	1	c137388_g1_i1	0	KO_EUK
AP-1mu	1	c138703_g1_i1	0	KO_EUK
AP2	1	c111601_g2_i1	1	KO_EUK
AP2-6	1	c112244_g2_i1	1	KO_EUK
AP2D55	1	c118785_g3_i2	1	KO_EUK
AP2S1	1	c45877_g1_i1	0	KO_EUK
APOD	1	c122682_g1_i1	0	KO_EUK
APOE	1	c121514_g1_i1	0	KO_EUK
APOOL	3	c75375_g1_i1,c75375_g2_i1,c75375_g3_i1	0	KO_EUK
APOPT1	1	c143315_g1_i1	0	KO_EUK
APRT	1	c91106_g2_i1	0	KO_EUK
ARAP1	1	c96803_g3_i2	1	KO_EUK
ARC6	1	c112354_g1_i1	0	KO_EUK
ARF5	1	c73420_g1_i2	1	KO_EUK
ARFA1F	3	c115143_g6_i1,c115143_g7_i1,c99027_g1_i1	1	KO_EUK
ARHGEF1	1	c83739_g1_i1	0	KO_EUK
ARL16	1	c136675_g1_i1	0	KO_EUK
ARL6IP4	1	c73446_g2_i2	0	KO_EUK
ARP2407	1	c79452_g1_i1	0	KO_EUK
ARRDC1	1	c84318_g2_i1	0	KO_EUK
AT133	1	c108028_g5_i2	0	KO_EUK
ATG6	1	c118198_g5_i1	0	KO_EUK
ATP13A2	1	c133915_g1_i1	0	KO_EUK
ATP1B1	1	c81540_g2_i1	0	KO_EUK
ATP2A2	2	c137094_g1_i1,c75426_g1_i1	0	KO_EUK
ATP5A1	1	c102781_g3_i1	1	KO_EUK
ATP5ME	1	c102619_g2_i1	0	KO_EUK
ATP6	2	c101915_g1_i1,c139745_g1_i1	0	KO_EUK
ATPsynC	1	c123663_g1_i1	0	KO_EUK
ATXN2L	1	c48291_g1_i1	0	KO_EUK
AUP1	1	c73421_g1_i1	0	KO_EUK
AVA-P2	2	c110749_g7_i1,c90587_g1_i1	0	KO_EUK
AY847792	1	c39423_g1_i1	0	KO_EUK
Acox1	1	c82379_g1_i1	0	KO_EUK
Acs8	1	c106742_g1_i1	0	KO_EUK
Act5C	1	c109111_g4_i2	0	KO_EUK
Act88F	1	c115796_g6_i1	0	KO_EUK
Adam15	1	c132687_g1_i1	0	KO_EUK
Adck5	1	c128244_g1_i1	1	KO_EUK
Ahsg	1	c136266_g1_i1	0	KO_EUK
Anxb11	1	c84885_g1_i1	0	KO_EUK
Arp1	1	c110359_g7_i1	0	KO_EUK
Atad3a	1	c11780_g1_i1	0	KO_EUK
Atf5	1	c138741_g1_i1	1	KO_EUK
Atp5a1	1	c45203_g1_i1	0	KO_EUK
Atp5c1	2	c128036_g1_i1,c74460_g1_i1	0	KO_EUK
Atp5g2	1	c95068_g1_i2	0	KO_EUK
Atp5h	1	c143212_g1_i1	0	KO_EUK
Atp5i	1	c45092_g1_i1	0	KO_EUK
Atp5j	2	c17269_g1_i1,c40098_g2_i1	0	KO_EUK
Atp5j2	2	c71952_g1_i1,c89149_g1_i1	0	KO_EUK
Atp5l	1	c26239_g1_i1	0	KO_EUK
Atp5o	1	c22148_g1_i1	0	KO_EUK
Atr2	1	c124996_g1_i1	0	KO_EUK
B3GAT2	1	c140658_g1_i1	0	KO_EUK
BAIAP2L1	1	c5621_g1_i1	0	KO_EUK
BAIAP2L2	1	c128031_g1_i1	0	KO_EUK
BANF1	1	c73649_g1_i1	0	KO_EUK
BAX	1	c89201_g1_i1	0	KO_EUK
BBRBPC1	1	c113731_g1_i3	0	KO_EUK
BCAM	1	c133596_g1_i1	0	KO_EUK
BCAP29	1	c8190_g1_i1	0	KO_EUK
BCAP31	1	c79768_g1_i1	0	KO_EUK
BCL2L12	1	c120787_g1_i1	0	KO_EUK
BCL2L2-PABPN1	1	c88761_g2_i1	0	KO_EUK
BCL3	1	c42461_g2_i1	0	KO_EUK
BCL7C	2	c120035_g1_i1,c80749_g1_i1	0	KO_EUK
BCL9L	1	c115400_g4_i1	0	KO_EUK
BEX3	1	c70917_g1_i1	0	KO_EUK
BGS1	2	c63129_g1_i1,c83359_g1_i1	0	KO_EUK
BLOC1S1	1	c143198_g1_i1	0	KO_EUK
BOLA2-SMG1P6	1	c71260_g1_i1	0	KO_EUK
BOLA2B	1	c97238_g1_i1	0	KO_EUK
BOP1	1	c1863_g1_i1	0	KO_EUK
BRICD5	1	c141273_g1_i1	0	KO_EUK
BRK1	1	c78728_g1_i1	0	KO_EUK
BRMS1	3	c44178_g2_i1,c64452_g1_i1,c64452_g2_i1	1	KO_EUK
BSCL2	1	c67480_g1_i1	0	KO_EUK
BTAF1	2	c119013_g1_i1,c119013_g2_i1	0	KO_EUK
Bcade4	1	c79891_g2_i1	0	KO_EUK
Bcsgt2	1	c84404_g1_i1	0	KO_EUK
BctubA	1	c99834_g1_i1	0	KO_EUK
Bcvma2	1	c79172_g1_i1	0	KO_EUK
BevupMp003	1	c103438_g1_i1	0	KO_EUK
BevupMp037	2	c135056_g1_i1,c24445_g1_i1	0	KO_EUK
BevupMp058	1	c140752_g1_i1	0	KO_EUK
Bhmt	1	c123119_g1_i1	0	KO_EUK
C030002A05Rik	1	c98186_g1_i1	0	KO_EUK
C12H12orf10	1	c142697_g1_i1	0	KO_EUK
C12O-2	1	c133694_g1_i1	0	KO_EUK
C12orf45	1	c140318_g1_i1	0	KO_EUK
C13C12.2	1	c124518_g1_i1	0	KO_EUK
C14H14orf178	1	c131748_g1_i1	0	KO_EUK
C16H16orf89	1	c95396_g1_i1	0	KO_EUK
C19orf48	1	c24872_g1_i1	0	KO_EUK
C1QA	2	c131521_g1_i1,c89761_g1_i1	0	KO_EUK
C1QB	1	c73666_g2_i1	0	KO_EUK
C1orf53	1	c124735_g1_i1	0	KO_EUK
C20orf27	1	c84550_g2_i1	0	KO_EUK
C22H19orf48	1	c129511_g1_i1	0	KO_EUK
C23H12orf57	1	c88886_g1_i2	0	KO_EUK
C24H14orf2	1	c88438_g1_i1	0	KO_EUK
C4H2	1	c58121_g1_i1	0	KO_EUK
C4H6orf136	1	c97190_g2_i1	0	KO_EUK
C8H8orf44	1	c142169_g1_i1	0	KO_EUK
C8H8orf49	1	c95276_g2_i1	0	KO_EUK
C8a	1	c123492_g1_i1	0	KO_EUK
C8g	2	c17392_g1_i1,c17392_g2_i1	0	KO_EUK
C9	1	c127376_g1_i1	0	KO_EUK
C9H12orf57	1	c144229_g1_i1	0	KO_EUK
C9H9orf3	1	c141249_g1_i1	0	KO_EUK
CAB-10A	2	c111147_g1_i1,c119612_g9_i1	0	KO_EUK
CAB1	2	c100135_g1_i1,c100940_g1_i1	0	KO_EUK
CALM2	1	c134195_g1_i1	0	KO_EUK
CAM2	1	c119539_g2_i1	0	KO_EUK
CAM7	1	c112600_g5_i2	0	KO_EUK
CAPG	1	c15268_g1_i1	0	KO_EUK
CAPZB	1	c88887_g1_i1	0	KO_EUK
CAT3	1	c109205_g3_i1	0	KO_EUK
CBL01	1	c106509_g2_i1	0	KO_EUK
CBR	1	c114377_g3_i1	0	KO_EUK
CBX3	1	c135252_g1_i1	0	KO_EUK
CCAR2	1	c25830_g1_i1	0	KO_EUK
CCD4	1	c116142_g3_i1	0	KO_EUK
CCD7	1	c104330_g1_i1	0	KO_EUK
CCDC107	1	c132463_g1_i1	0	KO_EUK
CCDC124	1	c83115_g2_i1	0	KO_EUK
CCDC130	1	c41264_g1_i1	0	KO_EUK
CCDC159	1	c122301_g1_i1	0	KO_EUK
CCDC24	2	c130068_g1_i1,c135879_g1_i1	0	KO_EUK
CCDC85B	1	c143225_g1_i1	0	KO_EUK
CCDC88B	1	c83353_g1_i1	0	KO_EUK
CCHCR1	1	c83628_g1_i1	0	KO_EUK
CCNL2	1	c45602_g1_i1	0	KO_EUK
CCNT1	1	c131799_g1_i1	0	KO_EUK
CCS	1	c91924_g2_i1	0	KO_EUK
CCoAOMT1	1	c100292_g1_i1	1	KO_EUK
CD14	2	c134935_g1_i1,c143007_g1_i1	0	KO_EUK
CD320	1	c74397_g1_i1	0	KO_EUK
CD44	1	c131690_g1_i1	0	KO_EUK
CD74	1	c104960_g9_i2	0	KO_EUK
CD99	1	c88779_g1_i1	0	KO_EUK
CDC42EP5	1	c129270_g1_i1	0	KO_EUK
CDHR5	1	c103471_g3_i1	0	KO_EUK
CDX1	1	c135242_g1_i1	0	KO_EUK
CFDP1	1	c15455_g1_i1	0	KO_EUK
CFL1	1	c104419_g1_i1	0	KO_EUK
CHCHD5	1	c37745_g1_i1	0	KO_EUK
CHGA	1	c128333_g1_i1	0	KO_EUK
CHKB	1	c92509_g3_i1	0	KO_EUK
CHMP2A	1	c42606_g1_i1	0	KO_EUK
CHMP3	1	c86978_g2_i1	0	KO_EUK
CHS3	1	c101314_g1_i1	0	KO_EUK
CHTF8	1	c127406_g1_i1	0	KO_EUK
CIC	1	c84759_g1_i1	1	KO_EUK
CIMG08159	1	c54110_g1_i1	0	KO_EUK
CIMG09546	1	c131645_g1_i1	0	KO_EUK
CINP	1	c39647_g1_i1	0	KO_EUK
CIPK018	1	c110580_g1_i2	0	KO_EUK
CIPK04	1	c112437_g1_i1	0	KO_EUK
CIPK08	1	c113309_g1_i3	0	KO_EUK
CIPK14	1	c117154_g1_i2	0	KO_EUK
CISD1	1	c84449_g1_i1	0	KO_EUK
CKM	2	c142619_g1_i1,c71587_g2_i1	0	KO_EUK
CLDN7	1	c100991_g2_i1	0	KO_EUK
CLPC1	1	c86891_g1_i1	0	KO_EUK
CLPTM1	2	c3050_g1_i1,c62258_g1_i1	0	KO_EUK
CLTA	1	c127814_g1_i1	0	KO_EUK
CLU	1	c143536_g1_i1	0	KO_EUK
CLYBL	1	c135986_g1_i1	0	KO_EUK
CNB-1	1	c64209_g1_i1	0	KO_EUK
CNOT10	1	c278_g2_i1	0	KO_EUK
CNPPD1	1	c66755_g1_i1	0	KO_EUK
COL7A1	1	c124778_g1_i1	0	KO_EUK
COMMD4	1	c7341_g1_i1	0	KO_EUK
COMMD6	1	c92747_g1_i1	0	KO_EUK
COMT	1	c100206_g1_i1	0	KO_EUK
COMTD1	1	c90175_g1_i1	0	KO_EUK
COPA	1	c107942_g6_i1	0	KO_EUK
COPB2	1	c139706_g1_i1	0	KO_EUK
COQ6	1	c120364_g1_i1	0	KO_EUK
CORO1B	1	c122091_g1_i1	0	KO_EUK
CORO7	1	c78734_g1_i1	0	KO_EUK
COX1	6	c106714_g1_i1,c116420_g2_i1,c116420_g4_i1,c138374_g1_i1,c140859_g1_i1,c86125_g1_i1	0	KO_EUK
COX2	5	c138918_g1_i1,c140817_g1_i1,c141674_g1_i1,c88030_g1_i1,c91917_g1_i1	0	KO_EUK
COX3	4	c120108_g1_i1,c132177_g1_i1,c42612_g1_i1,c92913_g1_i1	0	KO_EUK
COX5B	1	c96871_g2_i1	0	KO_EUK
COX7C	1	c99503_g4_i2	0	KO_EUK
CPR30	2	c44390_g1_i1,c74122_g1_i1	0	KO_EUK
CPR33	1	c99432_g1_i1	0	KO_EUK
CPR35	1	c19734_g1_i1	0	KO_EUK
CPR39	1	c89241_g1_i1	0	KO_EUK
CPSF1	1	c78964_g1_i1	0	KO_EUK
CRELD2	1	c121699_g1_i1	0	KO_EUK
CRYAB	2	c138814_g1_i1,c73207_g1_i1	0	KO_EUK
CSLD2	1	c49623_g1_i1	0	KO_EUK
CSNK2B	1	c72697_g1_i1	0	KO_EUK
CTNNB1	1	c80567_g1_i1	0	KO_EUK
CTSC	2	c61792_g1_i1,c93641_g1_i1	0	KO_EUK
CTSD	1	c123877_g1_i1	0	KO_EUK
CTSS	1	c95276_g1_i1	0	KO_EUK
CTSZ	1	c85551_g1_i1	0	KO_EUK
CUL1	1	c118789_g4_i2	0	KO_EUK
CUL9	1	c129600_g1_i1	0	KO_EUK
CWF19L2	1	c139102_g1_i1	0	KO_EUK
CXADR	1	c129775_g1_i1	0	KO_EUK
CXCL14	1	c132337_g1_i1	0	KO_EUK
CYB561A3	1	c127987_g1_i1	0	KO_EUK
CYC1	1	c93031_g1_i1	0	KO_EUK
CYP-22	1	c25010_g1_i1	0	KO_EUK
CYP-34	3	c124127_g1_i1,c78744_g1_i1,c78744_g2_i1	0	KO_EUK
CYP-69	1	c142957_g1_i1	0	KO_EUK
CYP1	1	c121750_g1_i1	0	KO_EUK
CYP6BD2	2	c41999_g1_i1,c73689_g1_i1	0	KO_EUK
CYP716A75	2	c109972_g1_i1,c115098_g2_i1	0	KO_EUK
CYP72A58	1	c99288_g1_i1	0	KO_EUK
CYP74B24	1	c116181_g3_i2	0	KO_EUK
CYP76B6	1	c119068_g2_i5	0	KO_EUK
CYP87D16	1	c117801_g1_i1	0	KO_EUK
CYP94A4	1	c117808_g3_i2	0	KO_EUK
CYS6	1	c109727_g7_i1	0	KO_EUK
CYT1	1	c119910_g1_i2	0	KO_EUK
CYTB	7	c141920_g1_i1,c71430_g2_i1,c87933_g1_i1,c89075_g1_i1,c89075_g2_i1,c89075_g3_i1,c98316_g1_i1	0	KO_EUK
Calm3	1	c85757_g3_i1	0	KO_EUK
Ccnl2	1	c141484_g1_i1	0	KO_EUK
Cdx1	1	c125653_g1_i1	0	KO_EUK
Cebpa	1	c51044_g1_i1	0	KO_EUK
Cfb	1	c85440_g1_i1	0	KO_EUK
Cfd	1	c1109_g1_i1	0	KO_EUK
Cfi	2	c130547_g1_i1,c69950_g1_i1	0	KO_EUK
Cnn1	1	c120522_g1_i1	0	KO_EUK
Cnpy2	1	c125777_g1_i1	0	KO_EUK
Col18a1	5	c127273_g1_i1,c140730_g1_i1,c61898_g1_i1,c61898_g2_i1,c807_g1_i1	0	KO_EUK
Cox4I1	2	c123048_g1_i1,c129817_g1_i1	0	KO_EUK
Cox5a	1	c136160_g1_i1	0	KO_EUK
Cox5b	1	c97108_g1_i1	0	KO_EUK
Cox6a1	2	c340_g1_i1,c62638_g1_i1	0	KO_EUK
Cox6b1	2	c124630_g1_i1,c128582_g1_i1	0	KO_EUK
Cox6c	1	c143810_g1_i1	0	KO_EUK
Cox7c	1	c128987_g1_i1	0	KO_EUK
Cpap3-a1	1	c122750_g1_i1	0	KO_EUK
Cpap3-d1	1	c128990_g1_i1	0	KO_EUK
Cpn60beta2	1	c98136_g1_i1	1	KO_EUK
Cpsf5	1	c135126_g1_i1	0	KO_EUK
Csr1	1	c50670_g1_i1	0	KO_EUK
Cyc1	1	c81543_g1_i1	0	KO_EUK
Cyp2a12	3	c132729_g1_i1,c136178_g1_i1,c88204_g1_i1	0	KO_EUK
Cyp2j5	2	c35502_g1_i1,c73552_g1_i1	0	KO_EUK
Cyp303a1	1	c20146_g2_i1	0	KO_EUK
Cyp4a32	1	c95986_g2_i1	0	KO_EUK
Cystm1	1	c83596_g1_i1	0	KO_EUK
D4H	1	c112637_g2_i2	0	KO_EUK
DAD1	2	c108952_g2_i1,c118237_g3_i2	0	KO_EUK
DALRD3	1	c129837_g1_i1	0	KO_EUK
DAZAP1	1	c138150_g1_i1	0	KO_EUK
DBNDD2	1	c135792_g1_i1	0	KO_EUK
DCL2	1	c119845_g1_i2	0	KO_EUK
DCL2a	1	c101207_g1_i1	0	KO_EUK
DCL2b	1	c91618_g1_i1	0	KO_EUK
DCN	1	c124037_g1_i1	0	KO_EUK
DCTN2	1	c132785_g1_i1	1	KO_EUK
DDB1	1	c117081_g2_i1	0	KO_EUK
DDIT3	1	c127401_g1_i1	0	KO_EUK
DDR1	1	c128859_g1_i1	0	KO_EUK
DDT	1	c99321_g2_i1	0	KO_EUK
DDX24	1	c52370_g1_i1	0	KO_EUK
DDX39B	1	c93290_g1_i3	1	KO_EUK
DEAD31	1	c109017_g2_i1	0	KO_EUK
DEGS2	1	c71061_g2_i1	0	KO_EUK
DEMETER	1	c118952_g3_i1	1	KO_EUK
DERL3	1	c40571_g1_i1	0	KO_EUK
DES	1	c139659_g1_i1	0	KO_EUK
DFR	1	c111429_g1_i1	0	KO_EUK
DIR3	1	c96200_g2_i1	0	KO_EUK
DNAJA2	2	c133433_g1_i1,c137093_g1_i1	0	KO_EUK
DNAJB2	1	c124936_g1_i1	0	KO_EUK
DND1	1	c118481_g4_i1	0	KO_EUK
DNM2	1	c142125_g1_i1	0	KO_EUK
DQX1	1	c126628_g1_i1	0	KO_EUK
DR13	1	c113439_g1_i1	0	KO_EUK
DRT112	1	c74327_g1_i1	1	KO_EUK
DYRK2	1	c140491_g1_i1	0	KO_EUK
Dbp	2	c140171_g1_i1,c35292_g1_i1	0	KO_EUK
Ddost	1	c97334_g2_i1	0	KO_EUK
Dnajc7	1	c128814_g1_i1	0	KO_EUK
Dpp7	1	c131166_g1_i1	0	KO_EUK
Dsp1	1	c78542_g1_i1	0	KO_EUK
E2F2	1	c128256_g1_i1	1	KO_EUK
ECHDC2	1	c131121_g1_i1	0	KO_EUK
EDF1	1	c99321_g3_i2	0	KO_EUK
EF-1	1	c110226_g3_i1	0	KO_EUK
EF1A1	1	c144583_g1_i1	0	KO_EUK
EHBP1L1	1	c124723_g1_i1	0	KO_EUK
EIF2AK1	1	c132946_g1_i1	0	KO_EUK
EIF3CL	3	c31405_g1_i1,c40367_g1_i1,c87584_g2_i1	0	KO_EUK
EIF3H	1	c20117_g1_i1	0	KO_EUK
EIF3I	1	c41542_g1_i1	0	KO_EUK
EIF5B	1	c124983_g1_i1	0	KO_EUK
EIL2	1	c112450_g1_i1	0	KO_EUK
EIN2	1	c119157_g2_i1	0	KO_EUK
ELL3	1	c120500_g1_i1	0	KO_EUK
ELOB	1	c93500_g2_i1	0	KO_EUK
ELOVL5	1	c84638_g1_i1	0	KO_EUK
ENDOG	1	c94408_g1_i1	0	KO_EUK
ENO3	1	c8574_g1_i1	0	KO_EUK
EPN1	3	c123293_g1_i1,c132701_g1_i1,c134460_g1_i1	0	KO_EUK
ERF7	1	c114791_g5_i1	1	KO_EUK
ERF91	1	c104367_g1_i1	1	KO_EUK
ERFLP1	1	c111400_g2_i2	1	KO_EUK
ERG20	1	c138436_g1_i1	0	KO_EUK
ERG25	1	c144790_g1_i1	0	KO_EUK
ERGIC3	1	c121756_g1_i1	0	KO_EUK
ETFB	1	c89254_g2_i1	0	KO_EUK
EXP2	1	c111864_g3_i2	0	KO_EUK
EXPA4	1	c111864_g2_i1	0	KO_EUK
Eif3d	1	c94036_g1_i1	0	KO_EUK
Eif4g1	1	c9574_g1_i1	0	KO_EUK
Endog	1	c122557_g1_i1	0	KO_EUK
Eno3	1	c130427_g1_i1	0	KO_EUK
Enpp2	1	c143332_g1_i1	0	KO_EUK
Ephb3	1	c39428_g1_i1	0	KO_EUK
F35C8.5	1	c62158_g1_i1	0	KO_EUK
F46H5.3	1	c4135_g1_i1	0	KO_EUK
FABP2	1	c76727_g1_i1	0	KO_EUK
FAD2	1	c108814_g1_i1	0	KO_EUK
FAM118B	1	c99835_g1_i1	0	KO_EUK
FAM132A	1	c124086_g1_i1	0	KO_EUK
FAM136A	1	c57191_g1_i1	0	KO_EUK
FAM193B	1	c124307_g1_i1	0	KO_EUK
FAM98C	1	c139308_g1_i1	0	KO_EUK
FARSB	1	c139556_g1_i1	0	KO_EUK
FASTK	1	c96124_g1_i1	0	KO_EUK
FASTKD1	1	c142956_g1_i1	0	KO_EUK
FBA1	1	c138597_g1_i1	0	KO_EUK
FBA2	1	c139252_g1_i1	0	KO_EUK
FBLN1	1	c44297_g1_i1	0	KO_EUK
FBXL15	1	c122973_g1_i1	0	KO_EUK
FBXL6	1	c121947_g1_i1	0	KO_EUK
FCGBP	2	c128608_g1_i1,c95687_g1_i1	0	KO_EUK
FIE	1	c105114_g1_i1	0	KO_EUK
FKBP11	1	c6822_g1_i1	0	KO_EUK
FKBP2	1	c61475_g1_i1	0	KO_EUK
FLNC	1	c30437_g1_i1	0	KO_EUK
FLOT1	1	c88407_g1_i1	0	KO_EUK
FLS2	2	c110322_g1_i1,c119629_g1_i2	0	KO_EUK
FN1	2	c135211_g1_i1,c89215_g2_i2	0	KO_EUK
FRO1	3	c119592_g5_i1,c142757_g1_i1,c65178_g1_i1	0	KO_EUK
FTH1	1	c87372_g1_i1	0	KO_EUK
FUS	1	c103928_g9_i1	0	KO_EUK
FXYD3	1	c96053_g2_i1	0	KO_EUK
Fdx1	1	c127768_g1_i1	0	KO_EUK
Fkbp8	1	c70949_g1_i1	0	KO_EUK
Ftcd	1	c45494_g1_i1	0	KO_EUK
G6PC3	1	c144470_g1_i1	0	KO_EUK
G6pd	1	c120737_g1_i1	0	KO_EUK
GADD45GIP1	1	c101989_g1_i1	0	KO_EUK
GAK	1	c93691_g1_i1	0	KO_EUK
GALE	1	c94912_g1_i1	0	KO_EUK
GAPDH1	1	c94427_g1_i1	0	KO_EUK
GATAD1	1	c69641_g1_i1	1	KO_EUK
GATD1	1	c83215_g1_i1	0	KO_EUK
GCN1	1	c131078_g1_i1	0	KO_EUK
GCN1L1	1	c119820_g1_i2	0	KO_EUK
GCR1-1_2	1	c108194_g1_i1	0	KO_EUK
GEL4	1	c108429_g1_i1	0	KO_EUK
GGPPS2	1	c107782_g2_i1	0	KO_EUK
GH1	1	c131550_g1_i1	0	KO_EUK
GLG1	1	c144101_g1_i1	0	KO_EUK
GMCYP14	1	c108559_g1_i1	0	KO_EUK
GMFG	1	c39038_g1_i1	0	KO_EUK
GMHSF-06	1	c99662_g1_i1	1	KO_EUK
GMLAX15	1	c86415_g1_i1	0	KO_EUK
GMPAL1.2	1	c119121_g3_i1	0	KO_EUK
GMSWEET13	1	c110747_g1_i2	0	KO_EUK
GMSWEET4	1	c130571_g1_i1	0	KO_EUK
GMYABBY15	1	c109093_g3_i1	1	KO_EUK
GNB2	2	c98254_g1_i1,c98254_g2_i1	0	KO_EUK
GND1	1	c106271_g2_i3	0	KO_EUK
GNL2	1	c134768_g1_i1	0	KO_EUK
GNL3L	1	c124294_g1_i1	0	KO_EUK
GOLM1	1	c122554_g1_i1	0	KO_EUK
GPD1	1	c82233_g2_i2	0	KO_EUK
GPPS	1	c117444_g1_i2	0	KO_EUK
GPR35	1	c132203_g1_i1	0	KO_EUK
GPS1	1	c111193_g6_i1	0	KO_EUK
GPS2	1	c92297_g2_i1	0	KO_EUK
GPX1	1	c94009_g1_i1	0	KO_EUK
GRAS1	1	c115989_g3_i1	1	KO_EUK
GRSF1	1	c143839_g1_i1	0	KO_EUK
GS	1	c104332_g1_i1	0	KO_EUK
GSK3B	1	c67477_g1_i1	0	KO_EUK
GSTP1	1	c96803_g1_i2	0	KO_EUK
GTC2401	1	c131751_g1_i1	0	KO_EUK
GTF2401	1	c28185_g1_i1	1	KO_EUK
GTF2F1	1	c14765_g1_i1	1	KO_EUK
GUK1	1	c135657_g1_i1	0	KO_EUK
GW2	2	c110419_g1_i2,c110692_g2_i1	0	KO_EUK
Gabarap	1	c101137_g2_i1	0	KO_EUK
Gm29667	2	c110054_g2_i1,c64500_g1_i1	0	KO_EUK
Gm46894	1	c117213_g1_i1	0	KO_EUK
Gm52197	1	c38567_g1_i1	0	KO_EUK
Gm6958	1	c38703_g1_i1	0	KO_EUK
Gnas	1	c137872_g1_i1	0	KO_EUK
Gng5	1	c19375_g1_i1	0	KO_EUK
Gnmt	1	c88631_g1_i1	0	KO_EUK
GstO1	1	c134409_g1_i1	0	KO_EUK
GstS1	1	c123969_g1_i1	0	KO_EUK
GstS3	2	c121042_g1_i1,c138759_g1_i1	0	KO_EUK
GstS5	1	c132924_g1_i1	0	KO_EUK
H3a	1	c129462_g1_i1	0	KO_EUK
HA2	1	c105648_g1_i1	0	KO_EUK
HA8	1	c111688_g11_i1	0	KO_EUK
HADHB	1	c82365_g1_i1	0	KO_EUK
HB12	1	c106973_g1_i2	0	KO_EUK
HBA	1	c126723_g1_i1	0	KO_EUK
HDAC1	1	c9671_g1_i1	0	KO_EUK
HDAC2	1	c131072_g1_i1	0	KO_EUK
HDHD3	1	c53248_g1_i1	0	KO_EUK
HDR	1	c117110_g2_i1	0	KO_EUK
HEXDC	1	c124071_g1_i1	0	KO_EUK
HHLA3	1	c92131_g1_i1	0	KO_EUK
HIGD2A	1	c120091_g1_i1	0	KO_EUK
HMA13	1	c117099_g2_i1	0	KO_EUK
